question,A,B,C,D,correct_answer,category,type
ATC clears Fastair 345 to descent from FL 100 to FL 80. What is the correct read back by the pilot?,"Descending to 80, Fastair 345","Leaving flight level 100 descending to flight level 80, Fastair 345","Down to flight level 80, Fastair 345","Leaving 100 to 80, Fastair 345",B,,LTC_APP
Which elements of instructions or information shall always be read back?,"QNH, SSR code, approach aid serviceability","QNH, weather information, runway-in-use","ATC clearance, speed instructions, runway state information","SSR code, QNH, take-off clearance, speed instructions",D,,LTC_APP
"Which word shall be used to ask a station whether you have correctly received a message, clearance,instruction, etc?",Confirm,Correct,Acknowledge,Verify,D,,LTC_APP
"Normally a holding procedure should be published. However, when the pilot requires a detailed description of the holding procedure based on a facility, the following phraseology should be used in the following order:",1) Fix     2) Level      3) Inbound track      4) Right or left turns     5) Time of leg (if necessary),1) Fix     2) Inbound track    3) Level      4) Time of leg       5) Right or left turns (if necessary),1) Fix     2) Inbound track    3) Level    4) Right or left turns     5) (if necessary),1) Fix      2) Inbound track       3) Level         4) turns          5) Time of leg (if necessary),A,,LTC_APP
Distress conditions are defined as:,A condition of being threatened by serious and/or imminent danger and of requiring immediate assistance.,"A condition concerning the safety of an aircraft or other vehicle, or of some person on board or within sight, but which does not require immediate assistance","A condition concerning the safety of an aircraft or other vehicle, or of some person on board or within sight and of requiring immediate assistance.",A condition of being threatened by serious and/or imminent danger .,A,,LTC_APP
Urgency conditions are defined as:,A condition of being threatened by serious and/or imminent danger and of requiring immediate assistance.,"A condition concerning the safety of an aircraft or other vehicle, or of some person on board or within sight, but which does not require immediate assistance","A condition concerning the safety of an aircraft or other vehicle, or of some person on board or within sight and of requiring immediate assistance.",A condition of being threatened by serious and/or imminent danger .,B,,LTC_APP
The word “MAYDAY” spoken at the start identifies....... message:,abnomal,a distress,an urgency,none above,B,,LTC_APP
The words “PAN PAN”   at the start identifies an ..... message.,abnomal,a distress,an urgency,none above,C,,LTC_APP
"The words “MAYDAY” or “PAN PAN”, as appropriate, should preferably be ........... at the start of the initial distress or urgency call.",spoken 4 times,spoken 2 times,spoken 3 times,spoken only ones,C,,LTC_APP
"A distress message should contain as many as possible of the following elements, and, if possible, in the order shown:",Name of the station addressed; b) identification of the aircraft; c) nature of the distress condition; d) intention of the person in command;,"Name of the station addressed; b) identification of the aircraft; c) nature of the distress condition; d) intention of the person in command; e) position, level and heading of the aircraft; and f) any other useful information.","Name of the station addressed; b) identification of the aircraft; c) nature of the distress condition; d) position, level and heading of the aircraft; and e) any other useful information.","Name of the station addressed; b) identification of the aircraft; c) intention of the person in command; d) position, level and heading of the aircraft; and e) any other useful information.",D,,LTC_APP
"When an aircraft announces that it is making an emergency descent, the controller will:",Take all possible action to safeguard other aircraft.,"The general broadcast to warn aircraft of an emergency descent should be followed, as necessary, by specific instructions.",1 or 2,1 and 2,D,,LTC_APP
"After suffering a radio receiver failure the pilots should make blind transmissions preceded by the phrase ""Transmitting blind due to receiver failure"" and subsequently:",Hold for 5 minutes,Proceed to the pre-planned alternate,Enter the next en-route holding pattern encountered,Advise the time of the next intended transmission,D,,LTC_APP
"When an aircraft has informed an ATS unit that it intends to dump fuel, the ATS unit will:","Coordinate with the flight crew the route to be flown, the level to be used and the duration of the fuel dumping. Other known traffic will be separated from the aircraft dumping fuel with specified minima. For non-controlled traffic a warning will be broadcast.","Coordinate with the flight crew the route to be flown, the level to be used and the duration of the fuel dumping.",Coordinate with the flight crew the route to be flown and the duration of the fuel dumping. Other known traffic will be separated from the aircraft dumping fuel with specified minima. For non-controlled traffic a warning will be broadcast.,"Coordinate with the flight crew the route to be flown, the level to be used. Other known traffic will be separated from the aircraft dumping fuel with specified minima. For non-controlled traffic a warning will be broadcast.",A,,LTC_APP
"When an aeronautical station has been unable to establish contact with an aircraft after calls on the frequencies on which the aircraft is believed to be listening, it shall:","Request other aeronautical stations to render assistance by calling the aircraft and relaying traffic, if necessary;","Request aircraft on the route to attempt to establish communication with the aircraft and relay messages, if necessary.",a and/or b,Continuing blind transmission,C,,LTC_APP
"When an aircraft is no longer in distress, it shall transmit a message cancelling the distress condition. Which words shall this message include?","MAYDAY, resuming normal operations",Cancel distress,MAYDAY cancelled,Distress condition terminated,B,,LTC_APP
The distress communication and silence conditions shall be terminated by transmitting a message. Which words shall this message include?,"Disregard distress communication, OUT",Emergency communication finished,MAYDAY traffic ended,Distress traffic ended,D,,LTC_APP
Blind transmission:,A transmission from one station to another station in circumstances where two-way communication cannot be established but where it is believed that the called station is able to receive the transmission.,A transmission of information relating to air navigation that is not addressed to a specific station  or stations.,A transmission from ground to the air in circumstances where two-way communication cannot be established but where it is believed that the called station is able to receive the transmission.,A transmission from one station to another station in circumstances where two-way communication cannot be established .,A,,LTC_APP
Broadcast:,A transfer of information relating to air navigation that is not addressed to a specific station  or stations.,A transmission of information relating to air navigation that is not addressed to a specific station  or stations.,A transmission of information relating to air navigation that is addressed to a specific station  or stations.,A transmission of information relating to air transportation that is not addressed to a specific station  or stations.,B,,LTC_APP
Clearance limit:,The point to which an aircraft is granted an air traffic control clearance.,The fix to which an aircraft is granted an air traffic control clearance.,The level to which an aircraft is granted an air traffic control clearance.,all above.,A,,LTC_APP
The following transmitting techniques will assist in ensuring that transmitted speech is clear and satisfactorily received:,"maintain an even rate of speech not exceeding 100 words per minute. When it is known that elements of the message will be written down by the recipient, speak at a slightly slower rate;","maintain a rate of speech not exceeding 100 words per minute. When it is known that elements of the message will be written down by the recipient, speak at a slightly slower rate;","maintain an even rate of speech from 80 to 100 words per minute. When it is known that elements of the message will be written down by the recipient, speak at a slightly slower rate;","maintain an even rate of speech not exceeding 100 words per minute. When it is known that elements of the message will be written down by the recipient, spell the words at a slightly slower rate;",A,,LTC_APP
An irritating and potentially dangerous situation in radiotelephony is a “stuck” microphone button.,Operators should always ensure that the button is released after a transmission and the microphone placed in an appropriate place ensuring that it will not inadvertently be switched on.,Operators should ensure that the button is released after a transmission and the microphone placed in an appropriate place ensuring that it will not inadvertently be switched on.,Operators should always ensure that the button is released after a transmission and the microphone placed in an appropriate place ensuring that it will  inadvertently be switched off.,always ensure that the button is released after a transmission and the headset placed in an appropriate place ensuring that it will not inadvertently be switched on.,D,,LTC_APP
"When the language used for communication is English, number 4 shall be transmitted using the following pronunciation:",FOW-er,four,fao-er,faw-er,A,,LTC_APP
Pilots may check the time with the appropriate ATS unit. Time checks shall be given to.....,The nearest half minute,The closer half minute,The nearest 30 seconds,The half minute.,A,,LTC_APP
The word ACKNOWLEDGE shall be used in radiotelephony communications as appropriate and shall have the meaning given below. :,“Let me know that you have received and understood this message.”,“Let me know that you have received this message.”,“Let me know that you have received and understand this message.”,“Let me know that you have received and understood this information.”,A,,LTC_APP
The word CONFIRM  shall be used in radiotelephony communications as appropriate and shall have the meaning given below :,"“I request verification of: (clearance, instruction, action, information).”",Verify,Request,None above,A,,LTC_APP
The word RECLEARED  shall be used in radiotelephony communications as appropriate and shall have the meaning given below :,“this new clearance supersedes your previous clearance or part thereof.”,“A change has been made to your last clearance and this new clearance supersedes your previous clearance or part thereof.”,“A change has been made to your last clearance and this revised clearance supersedes your previous clearance or part thereof.”,“Authorized to proceed under the conditions specified.”,B,,LTC_APP
The word READ BACK shall be used in radiotelephony communications as appropriate and shall have the meaning given below :,"“Repeat all, or the specified part, of this message back to me exactly as received.”",“Repeat the specified part of this message back to me exactly as received.”,“Repeat this message back to me exactly as received.”,"“Repeat all, or the specified part, of this message back to your partner exactly as received.”",A,,LTC_APP
The word STANDBY shall be used in radiotelephony communications as appropriate and shall have the meaning given below :,“Wait and I will call you.”,“Wait for a while.”,I will call you later,“Wait and call me later.”,A,,LTC_APP
An aircraft call sign shall be one of the following types:,The characters corresponding to the registration marking of the aircraft; ex G-ABCD or Cessna G-ABCD,"The telephony designator of the aircraft operating agency, followed by the last four characters of the registration marking of the aircraft; ex:Vietjet DCAB","The telephony designator of the aircraft operating agency, followed by the flight identification. Ex Vietnam 226",All above are correct,D,,LTC_APP
"When establishing communications, an aircraft should:",Use the full call sign of both the aircraft and the aeronautical station.,Use the call sign of both the aircraft and the aeronautical station.,Use the full call sign of both the aircraft and owner company,Use the full call sign of the aircraft and spell it to aeronautical station,A,,LTC_APP
"The word “CORRECTION” shall be spoken, the last correct group or phrase repeated and then the correct version transmitted","When an error is made in a transmission,","When a mistake is made in a transmission,",When an error is made in a coodination,when a wrong is made in cockpit.,A,,LTC_APP
"When it is considered that reception is likely to be difficult, important elements of the message should be spoken ......",twice,again,slowly,in local language,A,,LTC_APP
The following shall always be read back:,ATC route clearances;,"clearances and instructions to enter, land on, take off from, hold short of, cross and backtrack on any runway; and","runway-in-use, altimeter settings, SSR codes, level instructions, heading and speed instructions and, whether issued by the controller or contained in ATIS broadcasts, transition levels.",all above,D,,LTC_APP
The following shall always be read back,ATC route clearances;,"clearances and instructions to enter, land on, take off from, hold short of, cross and backtrack on any runway;",traffic information,1 and 2 are correct,D,,LTC_APP
The controller shall listen to the read-back:,To ascertain that the clearance or instruction has been correctly acknowledged by the flight crew and shall take immediate action to correct any discrepancies revealed by the read-back.,To ascertain that the clearance or instruction has been correctly acknowledged by the flight,To ascertain that the clearance or instruction has been correctly received by the flight crew and shall take immediate action to correct any discrepancies revealed by the read-back.,To ascertain that the information has been correctly acknowledged by the flight crew and shall take immediate action to correct any discrepancies revealed by the read-back.,A,,LTC_APP
The ILS glide path is normally intercepted between,5 and 10 NM,3 and 7 NM,4 and 8 NM,3 and 10 NM.,D,,LTC_APP
"In a precision approach (ILS), generally glide path inter- section occurs at heights above runway elevation from",150 m (492 ft) to 300 m (984 ft),300 m (984 ft) to 600 m (1968 ft),300 m (984 ft) to 900 m (2.955 ft),150 m (492 ft) to 900 m (2.955 ft).,C,,LTC_APP
An instrument approach procedure consists of,5 segments.,4 segments,6 segments,3 segments,A,,LTC_APP
"Whenever the code is assigned to an aircraft, the setting of this code shall be verified by the controller:",At the first contact.,At the second communication,At the appropriate of opportunity.,At the earliest of opportunity.,D,,LTC_APP
What is the minimum angle of turn necessary to identify an aircraft?,15 degrees,25 degrees,30 degrees,45 degrees,C,,LTC_APP
A radar approach controller should not request to adjust speed after the aircraft has passed  a point ------- from the threshold on final approach.,10 NM,8 NM,6 NM,4 NM,D,,LTC_APP
An  aircraft making a radar approach should be advised to consider executing a missed approach if the aircraft  is not visible on the radar display for significant interval during the last ……. of the approach.,5 NM.,4 NM,3 NM.,2 NM,D,,LTC_APP
Radar controllers should give traffic information in the following form:,Relative bearing- distance- direction- level- aircraft type,Relative bearing- distance- heading- altitude.,Relative bearing- distance- level- speed- aircraft type.,Relative bearing- aircraft type- heading- level- speed.,A,,LTC_APP
Who is responsible for check alignment of the Radar video display to ensure the video map or overlay is properly aligned with a permanent target of known and azimuth on the radar display?,The technician.,The watch supervisor.,The “D” controller.,The assistant controller.,A,,LTC_APP
"When observing invalid mode C readouts, what phraseology should the controller ask the pilot check his altimeter setting?",Check altimeter setting,Check your present level,Confirm altitude,Check altimeter setting and confirm level,D,,LTC_APP
Vector an arriving aircraft to intercept the final approach course at an angle not greater than ………,15 degrees,20 degrees,30 degrees,45 degrees,C,,LTC_APP
How many methods do you use for identification by SSR?,4,5,6,7,C,,LTC_APP
How many methods using for identification by PSR?,3,4,5,6,B,,LTC_APP
The number assigned to a particular multiple pulse signals transmitted by a transponder is:,Mode.,Code.,Interrogation.,Response.,B,,LTC_APP
An aircraft will be considered to be maintaining FL 190 when SSR mode C level information indicates:,195,197,193,196,C,,LTC_APP
The tolerance value which should be used to determine that mode C derived level information displayed to the controller is accurate shall be:,…200 feet,…300 feet,…500 feet,…1000 feet,B,,LTC_APP
"Before providing radar service to an aircraft, the radar controller shall:",Establish radar identity of that aircraft,Provide the radar information.,Request the pilot to change heading 30 degrees or more.,Instruct the pilot to operate SPI feature.,A,,LTC_APP
Transfer of identity of a radar blip from the radar controller to another should be attempted when it is considered that:,The a/c is on the frequency of the accepting controller.,The a/c is over common boundary.,The a/c is within the coverage of the accepting controller in radar display.,The a/c reports over the last fix displayed on the radar display of transferring controller.,C,,LTC_APP
The radar controller should inform the pilot of his position except in the following case:,The aircraft report over a navaid.,The aircraft requests position information.,The aircraft resumes its own navigation.,The controller observes that the aircraft has deviated from its intended route.,A,,LTC_APP
Radar vectoring of an arriving aircraft shall be terminated when:,The aircraft requests and is granted permission to cancel IFR and proceed VFR.,The aircraft requests and is cleared for visual approach.,The aircraft reports established on final approach path of an instrument approach.,All the above,D,,LTC_APP
"Aircraft being radar vectored for an approach as soon as practicable, be informed of:",The type of approach to be anticipated and the runway in use.,The traffic on the aerodrome circuit.,The latest landing condition.,1 and 3,D,,LTC_APP
The surveillance radar normally used by ATC does not display altitude information unless the aircraft is equipped with an altitude encoding transponder. This is referred to as:,DME,Mode B,Mode C,Altitude,C,,LTC_APP
The process of correlating particular radar blip or radar position symbol with a specific aircraft is:,Radar monitoring.,Radar identification.,Radar vectoring.,Radar separation.,B,,LTC_APP
The use of radar for the purpose of providing aircraft with information and advice relative significant deviation from nominal flight path is:,Radar monitoring.,Radar vectoring.,Radar identification.,Radar separation.,A,,LTC_APP
Radar separation.,The separation used when aircraft equipped with airborne radar.,The separation used when aircraft operating in radar coverage area.,The separation used by an   air traffic controller having radar control rating.,The separation used when aircraft position information is derived from radar sources.,D,,LTC_APP
Secondary radar can provide:,Aircraft position information an azimuth and range.,Aircraft identification code.,Aircraft pressure altitude.,All the above.,D,,LTC_APP
Primary radar means:,A radar system which provides primary information of air traffic to ATC unit.,A radar system which uses reflected radio signal.,A radar system which uses primary information from aircraft and displays them on radar screen.,A radar system which ATC uses fist to determine aircraft ’position in distance and azimuth.,B,,LTC_APP
The main uses radar in an approach control service are:,Vector aircraft to a nominated position from which the final approach may be flown.,Carry out SRA and PRA approaches.,Monitor significant deviations from the nominal approach path of pilot interpreted approach.,All the above,D,,LTC_APP
An aircraft may be vectored into uncontrolled airspace when:,On pilot’s request of to circumnavigate bad weather.,In case of emergency and on pilot’s request.,In case of emergency.,All the above,D,,LTC_APP
"If unidentified aircraft is approach head on the controlled aircraft, what action should be taken by the radar controller?",Immediately turn the controlled aircraft to the right.,Descend the controlled aircraft to fly below the unidentified aircraft.,When the aircraft is 5 miles apart turn the controlled aircraft to the right.,Immediately climb the controlled aircraft.,A,,LTC_APP
Aircraft A reports at FL100 but the radar display shows FL115. What action should the radar controller take?,Draw the pilot’s attention on the difference in levels.,Inform the pilot of the difference and request him to check his altimeter setting and confirm his level.,Request the pilot to stop mode C transmission.,Inform the pilot of the difference and request him to keep his mode C on.,B,,LTC_APP
What should a radar controller do if the code displayed on the radar screen   difference from the code he has just asked the pilot to squawk?,Request the pilot to stop squawk.,Request the pilot to confirm that he has correctly set the assigned code.,Request the pilot to recycle the assigned mode and code.,Request the pilot to switch the transponder from ON to STANDBY.,C,,LTC_APP
An aircraft will consider to have reached the level to which it has been cleared when:,Level information derived by mode C indicated that it is within 90m ( 300 ft) of it’s assigned level.,After three consecutive renewals of mode C derived level information.,As long as mode C derived level information indicated that it is within plus or minus 90m (300ft).,Three consecutive renewals of mode C derived level information have indicated that it is within 90m(300ft) of it’s assigned levels,A,,LTC_APP
"In the case that the radar fails, but communication is still good, the radar controller should:",Instruct aircraft to maintain level and VMC.,Inform aircraft that radar fails and maintain own separation.,Instructed aircraft to change to APP frequency.,Mark position of identified aircraft and take measure to provide non- radar separation.,D,,LTC_APP
Arriving aircraft is descending for approach. The pilot of the aircraft is to change altimeter setting from Standard air pressure (760 mm Pb) to QNH (or QFE) ___,At above transition level.,Below transition level but above transition altitude,At transition altitude,Below transition altitude.,B,,LTC_APP
The phraseology used when an aircraft with transmitter failure has been given a turn and the echo is seen to follow instruction is:,Turn observed will continue to pass instructions.,"Reply not received, will continue instructions.","Turn observed, continue visually.","I have one-way contact with you, will continue to control you.",A,,LTC_APP
Radar separation shall only be applied between identified aircraft when:,The aircraft are equipped with transponders.,There is reasonable assurance that identification will be maintained,There are radar position symbols when depicted on the radar display.,There is enough distance between identified aircraft.,B,,LTC_APP
Radar separation based upon primary radar (PSR) shall be the distance:,Between the edges of the radar blips.,Between the center of the radar blips,Between the edges of one blip and the center of the other.,Between the nearest edges of the blips..,B,,LTC_APP
Radar separation based on the used of SSR responses:,The distance between the centers of radar blips,The distance between the closest edges of the radar blip,The distance between the closest edges of the position elements of the SSR responses must never be less than a prescribed minimum,The distance between the centre bips of the position elements of the SSR responses must never be less than a prescribed minimum,C,,LTC_APP
"Where SSR is used, transfer of radar identify shall be affected by:",Instructing the pilot (by the accepting controller) to operate the SPI feature.,Instructing the pilot (by the transferring controller) to operate the SPI feature.,Observing (by the accepting controller) to operate the SPI feature.,2 and 3.,D,,LTC_APP
Aircraft reports at FL150 but the radar display shows FL155. What action should the radar controller take?,Draw the pilot”s attention on the difference in levels.,Inform the pilot of the difference and request him to check his altimeter setting and confirm level.,Request the pilot to stop mode C transmission.,Inform the pilot of the difference and request him to keep his mode C on.,B,,LTC_APP
The standard minimum radar separation in Viet Nam,"5NM within 40NM from TSN,DAN, and NBA airports and 10NM elsewhere.","5NM within 40NM from TSN,DAN, and NBA airports; the 10NM between 40NM to 80NM from those airports and 15NM elsewhere.","5NM within 80NM from TSN,DAN, and NBA airports and 15NM elsewhere.","5NM within 40NM from TSN,DAN airports and 10NM elsewhere.",A,,LTC_APP
An aircraft making a radar approach should be advised to consider executing a missed approach if the aircraft í not visible on the radar display for significant interval during the last…….. of the approach.,5NM,4NM,3NM,2NM,D,,LTC_APP
Speed adjustments may not be requested or applied after the aircraft has passed a point of…………… from the threshold on final approach:,3NM,4NM,5NM,8NM,B,,LTC_APP
"Before providing radar service to an aircraft, the radar controller shall:",Establish radar identity of that aircraft.,Provide the radar information to the aircraft.,Request the pilot to change heading 30 degrees or more.,Instruct the pilot to operate SPI feature.,A,,LTC_APP
"The generation of minimum safe altitude warnings is a function of an ATC radar-processing system. The objective of the MSAW function is to assist in the prevention of controlled flight into………………accidents by generating in a timely manner, a warning of the possible infringement of a minimum safe altitude.",Traffic,Mountain,Terrain,Balloon,C,,LTC_APP
"When SSR radar is not available, radar identification may be achieved by instructing the aircraft to make heading changes of at least:",10 degrees,20 degrees,30 degrees,40 degrees,C,,LTC_APP
Use of surface movement radar (SMR):,Monitor the movement of aircraft and vehicales on the manoeuving area; provide directional information to pilots and vehical drivers as necessary;,Provide advise and assistance for the safe and efficient movement of aircraft and vehicales on the manoueving area.,Both 1 and 2.,1 or 2,C,,LTC_APP
Radar is an acronym of:,Radio Detecting And Range.,Radio Detection And Range.,Radio Detecting And Ranging.,Radio Detection And Ranging.,D,,LTC_APP
"The direction in which the longitudinal axis of an aircraft is pointed, usually expressed in degrees from North (true, magnetic, compass or grid). That is definition of:",Track,Bearing,Heading,Desired Track,C,,LTC_APP
How many PSR identification procedures are?,4,5,6,7,A,,LTC_APP
Which does ATC term “Radar contact” signify?,Your air craft has been identified and you will receive separation from all air craft while in contact with this radar facility.,You will be given traffic advisories until advised that the service has been terminated or that radar contact has been lost.,ATC is receiving your transponder and will finish vectors and traffic advisories until you are advised that contact has been lost.,Your air craft has been identified on the radar display and radar flight instructions will be provided until radar identification terminated.,D,,LTC_APP
Radar controller shall not request the pilot to adjust the speed where the air craft has passed:,4 NM from the threshold on final approach,2 NM from the threshold on final approach,3 NM from the threshold on final approach,5 NM from the threshold on final approach,A,,LTC_APP
Primary radar means:,A radar system which provides primary information of aircraft to ATC unit.,A radar system which uses reflected radio signal from the aircraft.,A radar system which uses primary information from aircraft and displays them on radar screen.,A radar system which ATC use first to determine aircraft’s position in distance and azimuth.,B,,LTC_APP
What will be the transponder mode S code for radio communication failure?,Mode B code 7600,Mode A code 7700,Mode A code 7600,Mode A code 7500,C,,LTC_APP
Which code does the pilot use in an emergency situation?,5500,6600,7700,4400,C,,LTC_APP
Which code is used in radio communication failure?,7600,7601,7602,7603,A,,LTC_APP
Which code is used in unlawful interference?,7200,7300,7400,7500,D,,LTC_APP
How shall a pilot inform a radar control unit that the aircraft is not equipped with transponder?,Negative squawk.,Negative transponder.,Transponder not available.,No SSR.,B,,LTC_APP
The radar control service provided may include:,"Radar separation of arriving, departing and en-route traffic; radar monitoring of arriving, departing and en-route traffic to provide information on any significant deviation from the normal flight path; radar vectoring when required;",Assistance to aircraft in emergency; assistance to aircraft crossing controlled airspace;,Warnings and position information on other aircraft considered to constitute a hazard; information to assist in the navigation of aircraft.,All the above,D,,LTC_APP
"The message addressed to an Area Control Center ""request radar vectors to circumnavigate adverse weather"" is:",An urgency message,A message relating to direction finding,A flight safety message,A meteorological message,C,,LTC_APP
"Information regarding traffic on a conflicting path should be given, whenever practicable, in the following form:","relative bearing of the conflicting traffic in terms of the 12-hour clock; distance from the conflicting traffic in kilometres (nautical miles); direction in which the conflicting traffic appears to be proceeding; level and type of aircraft or, if unknown, relative speed of the conflicting traffic, e.g. slow or fast.",relative bearing of the conflicting traffic in terms of the 12-hour clock; distance from the conflicting traffic in kilometres (nautical miles);,relative bearing of the conflicting traffic in terms of the 12-hour clock; direction in which the conflicting traffic appears to be proceeding;,"relative bearing of the conflicting traffic in terms of the 12-hour clock; level and type of aircraft or, if unknown, relative speed of the conflicting traffic, e.g. slow or fast.",A,,LTC_APP
"Prior to commencement of a radar approach, the aircraft shall be informed of:","the runway to be used; the applicable obstacle clearance altitude/height; the angle of the nominal glide path and, if so prescribed by the appropriate ATS authority or requested by the aircraft, the approximate rate of descent to be maintained; the procedure to be followed in the event of radio communication failure, unless the procedure has been published in AIPs.",the runway to be used; the applicable obstacle clearance altitude/height;,"the runway to be used; the angle of the nominal glide path and, if so prescribed by the appropriate ATS authority or requested by the aircraft, the approximate rate of descent to be maintained;","the runway to be used; the procedure to be followed in the event of radio communication failure, unless the procedure has been published in AIPs.",A,,LTC_APP
The following types of approaches may be conducted in segregated parallel operations provided suitable surveillance radar and the appropriate ground facilities conform to the standard necessary for the specific type of approach:,ILS and/or MLS precision approach;,surveillance radar approach (SRA) or precision approach radar (PAR) approach; and,visual approach.,All of above,D,,LTC_APP
"Aircraft to be provided with a precision radar approach shall have been transferred to the controller in charge of the precision approach at a distance of ......... from the point of interception of the glide path, unless otherwise provided by the appropriate ATS authority.",not less than 2 NM,not less than 3 NM,not less than 5 NM,None of above,D,,LTC_APP
"Subject to radar system and situation display capabilities, a minimum of ....... shall be provided between aircraft on the same ILS localizer course or MLS final approach track unless increased longitudinal separation is required due to wake turbulence or for other reasons.",5.6 km (3.0 NM) radar separation,5NM radar separation,10NM radar separation,None of above,A,,LTC_APP
What is minimum sector altitude (MSA)?,The lowest altitude which may be used which will provide a minimum clearance of 300 m (1000 ft) above all objects located in an area contained within a sector of a circle of 46 km (25 NM) radius centered on a radio aid to navigation.,The lowest altitude which may be used which will provide a minimum clearance of 600 m (2000 ft) above all objects located in an area contained within a sector of a circle of 46 km (25 NM) radius centered on a radio aid to navigation.,The lowest altitude which may be used which will provide a minimum clearance of 300 m (1000 ft) above all objects located in an area contained within a sector of a circle of 55km (30 NM) radius centered on a radio aid to navigation.,The lowest altitude which may be used which will provide a minimum clearance of 300 m (1000 ft) above all objects located in an area contained within a sector of a circle of 28km (15 NM) radius centered on a radio aid to navigation.,A,,LTC_APP
What is Standard Instrument Arrival (STAR)?,"A designated instrument flight rule (IFR) arrival route linking a significant point, normally on an ATS route, with a point from which a published instrument approach procedure can be commenced.","A designated visual flight rule (IFR) arrival route linking a significant point, normally on an ATS route, with a point from which a published instrument approach procedure can be commenced.","A designated instrument flight rule (IFR) arrival route linking a significant point, normally on an ATS route, with a point from which a published visual approach procedure can be commenced.",All the above,A,,LTC_APP
Which group of code should Ha Noi Acc use for HVN611 from Noi Bai to Bangkok,4100-4177,1700-1777,4611-4677,1 and 3,B,,LTC_APP
The MSA provides obstacle clearance in a circle with a radius of:,NM,NM,25NM,30NM,C,,LTC_APP
Track separation between aircraft using the same VOR is at least…and at a distance of…more from the facility.,"10 degrees;18,5km(10NM)","15 degrees;18,5km(10NM)",10 degrees;28km(10NM),15 degrees;28km(15NM),D,,LTC_APP
Track separation between aircraft using the same NDB VOR is at least…and at a distance of…more from the facility.,"10 degrees;18,5km(10NM)","30 degrees;18,5km(10NM)",30 degrees;28km(10NM),30 degrees;28km(15NM),D,,LTC_APP
Track separation between aircraft using dead reckoning is at least…and at a distance of…more from the facility.,"30 degrees;18,5km(10NM)","45 degrees;18,5km(10NM)",30 degrees;28km(10NM),45 degrees;28km(15NM),D,,LTC_APP
Longitudinal separation minima for aircraft at the same cruising level and on the same track is:,15 minutes,10 minutes,10 minutes if aircraft have the same type,10 minutes if aircraft have the same Mach number,A,,LTC_APP
Longitudinal separation minima between aircraft flying on crossing track with no navigational aid,10 minutes,10 minutes if navigation aids permit,10minutes if aircraft have the same TAS,15 minutes,D,,LTC_APP
"Where lateral separation is not provided, how long should vertical separation be provided for opposite direction traffic?",15 minutes prior to and after the time they are estimated to have passed.,10 minutes prior to and after the time they are estimated to have passed.,05 minutes prior to and after the time they are estimated to have passed.,Until they are estimated to have passed.,B,,LTC_APP
"When an aircraft is being held in flight, when should vertical separation be provided between holding aircraft and en-route aircraft?",When the en-route aircraft is within 5 minutes flying time of the holding point.,When the en-route aircraft is within 5 minutes flying time of the holding areas.,When the en-route aircraft is within 5 miles flying time of the holding areas.,When the en-route aircraft is within 15 minutes flying time of the holding areas.,A,,LTC_APP
What type of separation must be maintained at all times between aircraft holding in the holding pattern?,vertical,lateral,longitudinal,a combination of lateral and vertical,A,,LTC_APP
The aircraft should be advised to consider executing a missed approach if the aircraft is not visible on the situation display for any significant interval during the last...of the approach,1NM,2NM,3NM,4NM,B,,LTC_APP
"Prior to commencement of a radar approach, the aircraft shall be informed of:",The runway to be used.,"The applicable obstacle clearance altitude/height, the angle of the nominal glide path and, if so prescribed by the appropriate ATS authority or requested by the aircraft, the approximate rate of descent to be maintained.","The procedure to be followed in the event of radio communication failure, unless the procedure has been published in AIPs.",All the above are correct,D,,LTC_APP
"If the landing clearance is not received, a subsequent notification should be made at approximately…and landing clearance requested.",4 NM from threshold,4 NM from touchdown,1 or 2 is correct,1 and 2 are correct,B,,LTC_APP
"Unless otherwise prescribed by the appropriate ATS authority, the controller conducting the approach should notify the aerodrome controller or, when applicable, the procedural controller when an aircraft making a radar approach is approximately…",8 NM from touchdown,8 NM from threshold,8 NM from the beginning of the runway,1 & 2 & are correct,A,,LTC_APP
Which does ATC Term “Radar contact” signify?,Your aircraft has been identified and you will receive separation from all aircraft while in contact with this radar facility.,You will be given traffic advisories until advised that the service has been terminated or that radar contact has been lost.,ATC is receiving your transponder and will furnish vectors and traffic advisories until you are advised that contact has been lost.,Your aircraft has been identified on the radar display and radar flight instructions will provided until radar identification is terminated.,D,,LTC_APP
What does an air traffic controller have to do before providing an ATS surveillance service to an air craft?,Identify aircraft,Radio contact with aircraft,Issue ATC clearance for aircraft,Change aircraft flight level,A,,LTC_APP
What does mode C show?,Identification,Weather information,Restriction,Level information,D,,LTC_APP
What does mode S show?,Identification feature,Weather information,Restriction,Level information,A,,LTC_APP
What does SSR mean?,Secondary Surveillance Radar,Second Surveillance Radar,Safety Surveillance Radar,Secondary Radar,A,,LTC_APP
What does PSR mean?,Primary Surveillance Radar,Precision Surveillance Radar,Primary Service Radar,Procedure Surveillance Radar,A,,LTC_APP
How many SSR identification procedures are?,3,4,5,6,D,,LTC_APP
"When area control service and approach control service are not provided by the same air traffic control unit, responsibility for controlled flights shall rest with the unit providing area control service except that a unit providing approach control service shall be responsible for the control of:",arriving aircraft that have been released to it by the ACC;,departing aircraft until such aircraft are released to the ACC.,Both 1 and 2,None of above,C,,LTC_APP
